name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
LANGUAGE & LITERATURE: Advanced Urdu-Language and Literature,null,43602,/courses/43602,This course is designed to give in-depth exposure to some of the finest works of classical and modern Urdu prose and poetry along with the historical and socio-political trends they represent. Figures covered range from Ghalib (b.1797) to Faiz Fehmida Riaz and post 9/11 Urdu prose and poetry. The course is open to both undergraduates and graduate students subject to having intermediate level proficiency. The course is repeatable and hte content changes every semester. Multi-media content such as music videos blogs etc. will be actively incorporated. Every effort will be made to accommidate individual interests. Students are encouraged to contact the instructor with any questions or if they are unsure about eligibility.,[URDU-431 -- NELC-431],3.44,3.75,-1.0,-1.0,1.0,-1.0,-1.0,9
History of the Human Voice in Western Europe: 1790-1930,null,35570,/courses/35570,Topics vary annually. Topic for Spring 2015 is: History of the Human Voice in Western Europe 1790 - 1930.,[DTCH-530 -- COML-532 -- HIST-531 -- GRMN-555],3.67,3.67,2.67,-1.0,3.0,-1.0,-1.0,3
LITERATURE BEFORE 1660,null,35617,/courses/35617,This course will introduce students to key works of English literature written before 1660. It will explore the major literary genres of this period as well as the social and cultural contexts in which they were produced. The course will examine how literature texts articulate changes in language and form as well as in concepts of family nation and community during the medieval and early modern periods.,[ENGL-020],2.77,3.54,2.45,-1.0,2.27,-1.0,-1.0,14
STRAT & COMPET ADVANTAGE: Strategy and Competitive Advantage,null,40316,/courses/40316,This course is concerned with strategy issues at the business unit level. Its focus is on the question of how firms can create and sustain a competitive advantage. A central part of the course deals with concepts that have been developed around the notions of complementarities and fit. Other topics covered in the course include the creation of competitive advantage through commitment competitor analysis different organizational responses to environmental changes modularity and increasing returns. An important feature of the course is a term-length project in which groups of students work on firm analyses that require the application of the course concepts.,[MGMT-701],3.22,3.48,2.57,3.09,2.82,3.0,3.44,54
INTRO TO CALCULUS,null,45194,/courses/45194,Introduction to concepts and methods of calculus for students with little or no previous calculus experience. Polynomial and elementary transcendental functions and their applications derivatives extremum problems curve-sketching approximations; integrals and the fundamental theorem of calculus.,[MATH-103],3.25,3.38,2.63,-1.0,2.13,-1.0,-1.0,8
GUNS & LOVE GONE BAD:,null,40159,/courses/40159,This course will address two health concerns of long-standing controversy: the role of guns in population health and violence in relationships. We will adopt a healthy skepticism about the assumptions and ideologies that currently dominate formal and informal discourse about these topics. A life span perspective - guns from design through use and abuse from childhood through late life - will be grounded in a public health injury prevention framework. As a function of this approach we will examine key aspects of the social context in which guns and abuse exist and within which related policies are formulated. Students are encouraged to examine their perceptions about these issues so that they can become more effective members of a society that appears to maintain a deep ambivalence about guns and about violence in relationships.,[HSOC-382],3.73,3.88,1.93,-1.0,1.87,-1.0,-1.0,16
INTRO MACHINE LEARNING,null,36936,/courses/36936,Machine learning has been essential to the success of many recent technologies including autonomous vehicles search engines genomics automated medical diagnosis image recognition and social network analysis among many others. This course will introduce the fundamental concepts and algorithms that enable computers to learn from experience with an emphasis on their practical application to real problems. This course will introduce supervised learning (decision trees logistic regression support vector machines Bayesian methods neural networks and deep learning) unsupervised learning (clustering dimensionality reduction) and reinforcement learning. Additionally the course will discuss evaluation methodology and recent applications of machine learning including large scale learning for big data and network analysis.,[CIS-519 -- CIS-419],2.34,2.37,3.4,2.9,3.35,1.81,2.85,107
CRAFT OF PROSE,null,42242,/courses/42242,This seminar fulfills the writing requirement follows the same curriculum and has the same workload assessment process and standards as all other writing seminars at Penn. However seminar enrollment is capped at 12 and instruction includes a significant amount of individualized attention and guidance. Sections of Craft of Prose shares a single topic often drawn from the field of psychology. Throughout the emphasis is on the study and practice of writing. Students in the Craft of Prose sections get additional individualized feedback and mentoring from tutors as well as their instructor. This along with practice can significantly accelerate students' writing skills. Only Freshmen and Sophomores are eligible to enroll in Craft of Prose.,[WRIT-002],3.5,3.5,2.0,-1.0,3.45,-1.0,-1.0,12
ELEMENTARY LATIN I,null,40202,/courses/40202,An introduction to the Latin language for beginners. Students begin learning grammar and vocabulary with practical exercises in reading in writing. By the end of the course students will be able to read and analyze simple Latin texts including selected Roman inscriptions in the Penn Museum.,[LATN-101],2.63,2.75,-1.0,-1.0,1.43,-1.0,-1.0,8
GOVERNMENT RELATIONS,null,37243,/courses/37243,In a system of representative government organizations and individuals with interests at stake often seek the support of a governement relations professional. This course addresses government relations from the varying perspectives of the current or aspiring professional the client and the government official. It is designed to provide the students with an introduction to government affairs and lobbying at the local state and federal levels of governement and to illustrate how lobbying and the lobbyists shape and affect public policy. The course is not designed as a how-to in lobbying but rather it is designed to expose students to lobbying and more importantly the lobbying process. To that end students will draw on many disciplines such as psychology law history political science urban affairs economics foreign policy domestic policy and others to understand the complex mosaic of the lobbying and legislative processes.,[GAFL-551],3.17,3.25,2.55,-1.0,2.45,-1.0,-1.0,12
INTRO PARTICLE PHYSICS,null,36364,/courses/36364,An introduction to elementary particles (photons leptons hadrons quarks) their interactions and the unification of the fundamental forces.,[PHYS-522],2.36,2.86,1.92,-1.0,1.33,-1.0,-1.0,15
BEGINNING TIBETAN II,null,35259,/courses/35259,Beginning Tibetan II will develop the fundamentals of the modern Tibetan language in its literary and spoken forms. Students will continue learning to read Tibetan and analyze Tibetan grammatical forms. Students will also continue learning conversational Tibetan and increase familiarity with the structures of spoken grammar and its pronunciation. This class will provide a foundation for reading Tibetan literature both classical and modern and for speaking Tibetan a language that lives in Tibet and in diaspora communities around the globe. Learning the fundamentals of Tibetan language in this class will open a window into a rich and colorful culture the unique culture of Tibet.,[ALAN-031 -- ALAN-531],3.67,3.67,-1.0,-1.0,2.0,-1.0,-1.0,3
THE ART OF EDITING,null,38466,/courses/38466,This course takes a critical and practical approach to the art of editing poetry and prose. Is the editor simply a failed writer as T.S. Eliot claimed or can good editing bring clarity and integrity to the creative process? In addition to exploring theories and histories of the red pen we will consider a few case studies of editorial interventions such as Ezra Pound's excisions and revisions of Eliot's The Waste Land Marianne Moore's five-decade quest to revise a single poem and the editor who was discovered to have invented Raymond Carver's distinctive narrative style. We will then immerse ourselves in the technical aspects of editing mastering such topics as the difference between developmental and line editing the merits of MLA and Chicago style proofreading in hard copy and digital environments and when to wield an em dash. Students will learn how to edit their own work and the work of their peers in regular workshops and will also be given the opportunity to edit material for Jacket2 the journal in poetry and poetics.,[ENGL-126],3.73,3.91,2.0,-1.0,2.2,-1.0,-1.0,12
COMPOSITION I: HIST PRAC,null,36189,/courses/36189,Studies in selected 16th through 19th century compositional practices. Possible topics may include 16th century modal counterpoint; sonata forms in Viennese classicism; advanced chromatic harmony. Course includes analysis of relevant pieces and student compositional projects reflecting course topic.,[MUSC-271],3.0,3.6,1.67,-1.0,1.0,-1.0,-1.0,5
INTRO TO MED IMAGING,null,43770,/courses/43770,Introduction to the mathematical physical and engineering design principles underlying modern medical imaging systems including x-ray computed tomography ultrasonic imaging and magnetic resonance imaging. Mathematical tools including Fourier analysis and the sampling theorem. The Radon transform and related transforms. Filtered backprojection and other reconstruction algorithms. Bloch equations free induction decay spin echoes and gradient echoes. Applications include one-dimensional Fourier magnetic resonance imaging three-dimensional magnetic resonance imaging and slice excitation.,[BE-480],1.5,1.5,1.0,2.0,0.0,1.0,3.0,2
CIVIC SCHOLARS PROSEMINAR,null,40770,/courses/40770,The Civic Scholars Proseminar is the gateway interdisciplinary course for first-year students in the Penn Civic Scholars Program a four-year certificate program integrating scholarship and civic engagement. The course open only to first-year Civic Scholars provides context for students' future engagement academic work and program participation throughout their undergraduate experience.,[URBS-015],2.27,2.55,1.11,-1.0,1.11,-1.0,-1.0,12
SYNTAX II,null,43064,/courses/43064,The second half of a year-long introduction to the formal study of natural language syntax. Topics to be covered include grammatical architecture; derivational versus representational statement of syntactic principles; movement and locality; the interface of syntax and semantics; argument structure; and other topics. The emphasis is on reading primary literature and discussing theoretical approaches along with detailed case-studies of specific syntactic phenomena in different languages.,[LING-551],3.67,4.0,2.67,-1.0,2.67,-1.0,-1.0,3
COMPARATIVE POLITICS,null,45278,/courses/45278,This course is designed to introduce students to comparative political analysis. How can the political behavior circumstances institutions and dynamic patterns of change that people experience in very different societies be analyzed using the same set of concepts and theories? Key themes include nationalism political culture democratization authoritarianism and the nature of protracted conflict.,[PSCI-110],3.0,3.0,3.11,-1.0,3.33,-1.0,-1.0,9
Spanish Surrealism:  The Works of Salvador Dali,null,36549,/courses/36549,This course covers topics in contemporary Spanish Culture its specific emphasis varying with the instructor.,[SPAN-386 -- LALS-386],2.6,3.07,1.83,-1.0,2.25,-1.0,-1.0,15
Presenting the Past: The Middle East Galleries at Penn Museum,null,39563,/courses/39563,Curatorial seminars expose students to the complexity of studying and working with objects in the context of public display. With the guidance of faculty and museum professionals students learn what it means to curate an exhibition create catalogues and gallery text and/or develop programming for exhibitions of art and visual/material culture.,[ARTH-501 -- AAMW-509 -- NELC-501],2.0,2.0,2.67,-1.0,3.44,-1.0,-1.0,9
SCAL OPS IN TECH VENTURE: Scaling Operations in Technology Ventures: Linking Strategy and Execution,null,43294,/courses/43294,This course helps students learn to make strategic scaling decisions that are grounded in operational reality. Students will study how to build and evaluate the operation systems of the firm to maximize value with the focus on scaling the firm's operations. This involves tailoring the firm's operational competencies assets and processes to a specific business strategy. The course will approach the challenge of scaling operations and operations strategy by taking a holistic view that incorporates competitive strategy financial evaluation and the customer experience.,[OIDD-236],3.37,3.74,2.17,3.32,2.2,2.94,3.63,45
PERSPECTIVES ON ORG DYN: PERSPECTIVES ON ORGANIZATIONAL DYNAMICS,null,41214,/courses/41214,Perspectives is both a fundamental and integrating course intended for MSOD students at any point in the program who wish to understand and deploy a multiplicity of dynamics operative in organizations and in the minds that create and inhabit them. It is particularly useful for those in their first year and for non-MSOD students. One key focus is on understanding the implicit mental and emotional frameworks or metaphors that inform organizing so that we can virtually see more robust and complex approaches to effectiveness and to leadership within them. Several faculty members highlight their specialties. One special theme examines new management models and thinking frameworks designed to prevail in a 21st century context. Lectures discussion and experiential learning are used to build an informed grounding in the history philosophy theory and practice of Organizational Dynamics. The course requirements are active class participation potential application projects/weekly journal a midterm paper and a final paper.,[DYNM-501],3.56,3.8,2.67,-1.0,2.75,-1.0,-1.0,16
PRIMATE BEHAVIOR AND ECOLOGY,null,43693,/courses/43693,This course explores the behavior of wild primates and the ecological models that attempt to explain the evolution of these behaviors. The evolution and taxonomy of primates will be reviewed followed by a brief history of wild primate studies. We will then explore primate behavior through theoretical frameworks ranging from socioecological theory to sexual selection. Topics discussed include but are not limited to socioecology aggression kinship cooperation reproductive strategies cognition and conservation. Those enrolled in 507 will have additional responsibilities assigned.,[ANTH-207 -- ANTH-507 -- BIBB-271],3.22,3.65,2.5,-1.0,2.41,-1.0,-1.0,24
LANG & SOCIAL IDENTITY: Everyone has an accent: Language and Social Identity in the US,null,44438,/courses/44438,,[LING-152 -- SOCI-153],3.5,3.31,1.92,-1.0,2.08,-1.0,-1.0,13
Making Meaning in Local Global and Historical Perspectives,null,37847,/courses/37847,This Freshman Seminar is part of the Residential Program of the same name at Fisher Hassenfeld College House. This year-long seminar (0.5 credit per semester) explores the ways in which people around the world make meaning in their lives and communities. We will survey religious artistic and philosophical traditions from around the world--drawing especially on the rich resources here in Philadelphia with frequent field trips films and guest speakers. For more information see http://fh.house.upenn.edu/Making Meaning,[RELS-035],2.23,2.31,1.0,-1.0,0.92,-1.0,-1.0,13
INTRODUCTION TO MUSEUMS,null,42364,/courses/42364,This course introduces students to the history theory and modern practice of museums. Using the resources of the Penn Museum the course discusses curatorial practice education exhibition design and conservation while exploring the theoretical and ethical issues confronted by museums. Particularly relevant for those interested in archaeology anthropology art history cultural heritage and public education.,[ARTH-303 -- CLST-303],3.83,3.92,2.67,-1.0,2.78,-1.0,-1.0,12
SOC INNOV & SOC ENTRPRSE,null,40308,/courses/40308,This course introduces you to the world of social enterprise a world that is becoming increasingly important as society experiments with a variety of business and organizational models designed to provide products and services with a strong social impact mission behind them and as you and others search for ways to develop careers that have greater personal and social meaning. The organizations we will examine may be nominally for-profit not-for-profit or NGOs but what they share is commitment both to a social impact mission and to a set of disciplined sophisticated financial and management practices. They are led by individuals who themselves are both committed to the mission of the enterprise and who recognize the importance of demonstrably effective business models. And in the mix is the role of innovation of developing new approaches new models and/or new technologies in service of better realizing the social mission.,[MGMT-246],2.04,2.67,1.62,2.0,2.19,1.62,1.9,26
LIT OF AMERICAS BFR 1900: SLAVERY AND THE LITERARY IMAGINATION,null,42663,/courses/42663,This course examines U.S. literature and culture in the context of the global history of the Americas. Historical moments informing the course will range from the origins of the Caribbean slave-and-sugar trade at the beginning of the nineteenth century to the Monroe Doctrine of 1823 and the U.S. Mexico and Spanish-American wars. Readings will include works by authors such as Frances Calderon de la Barca Frederick Douglass Helen Hunt Jackson Henry Wadsworth Longfellow Jose Marti Herman Melville John Rollin Ridge Maria Amparo Ruiz de Burton and Felix Varela.,[ENGL-057],2.14,2.14,2.2,-1.0,2.0,-1.0,-1.0,8
MGMT&ECONOFPHARM&BIOTECH,null,44289,/courses/44289,This course provides an overview of the management economic and policy issues facing the pharmaceutical and biotechnology industries. The course perspective is global but with emphasis on the U.S. as the largest and most profitable market. Critical issues we will examine include: R&D intensive cost structure with regulation and rapid technological change; strategic challenges of biotech startups; pricing and promotion in a complex global marketplace where customers include governments and insurers as well as physicians and consumers; intense and evolving M&A joint ventures and complex alliances; government regulation of all aspects of business including market access pricing promotion and manufacturing. We use Wharton and industry experts from various disciplines to address these issues.,[HCMG-863],2.28,1.83,1.91,2.35,1.96,1.35,2.43,32
SCIENTIFIC INQUIRY FOR EVIDENCE-BASED PRACTICE,null,40441,/courses/40441,This course is designed to advance students' understanding of the research process methods of scientific inquiry and analytical techniques. Students acquire knowledge of systematic approaches used by scientists to design and conduct studies. Course content prepares students to appraise quantitative and qualitative research and evaluate the scientific merit and clinical significance of research for translation into practice. Evidence-based guidelines are examined and rated for strength of evidence and expert consensus using evidence grading systems and defined criteria. Students engage in variety of creative learning experiences to facilitate appreciative inquiry clinical reasoning and evidence-based practice. Quality improvement comparative effectiveness analyses information science and electronic health systems technology demonstrate the capacity for measurement and surveillance of nursing-sensitive and other outcomes used to evaluate quality nursing care and test interventions. Ethical legal and health policy implications for research are explored. This course serves as the basis for scientific inquiry about human experiences to address important problems that require solutions and to expand the research and the evidence base for professional nursing practice.,[NURS-547],0.8,0.92,2.28,0.95,2.2,0.28,0.78,51
Beginning Hindi-Urdu - Part I,null,37300,/courses/37300,Beginning in the fall semester of 2014 Beginning Hindi and Beginning Urdu will be merged into a single course Beginning Hindi-Urdu. At the beginning level spoken Urdu and Hindi are identical except for a few minor points. The broad outline of the course will thus remain the same as that of the current Beginning Hindi and Urdu courses. Students will learn to communicate with the language in a variety of everyday culturally authentic situations. Additional Urdu and Hindi culture will be integrated through authentic materials such as Bollywood film and music clips and simple written texts. There will be equal emphasis on both scripts and cultures and parallel written materials will be provided in both scripts. Students will be expected to develop first-year proficiency in one script of their choice and will be encouraged to learn both. By merging the two courses students will be exposed to a broader range of linguistic and cultural styles and students will thus have the opportunity to develop a deeper understanding that more closely resembles that of Hindi and Urdu native speakers. Please direct further inquiries to Josh Pien at jpien@sas.upenn.edu,[HIND-400 -- URDU-401 -- NELC-401],3.31,3.43,2.44,-1.0,2.67,-1.0,-1.0,14
Asian-American Relations and The Asian American Experience,null,39570,/courses/39570,,[ASAM-122 -- INTR-290],3.0,3.25,1.75,-1.0,2.5,-1.0,-1.0,4
PROBLEMS GREK/RMN HIST,null,36703,/courses/36703,This course will explore some of the pressing and problematic scholarly debates in the historiography of the Roman imperial period from the accession of the first emperor Augustus to the reign of Justinian (ruled 527-363 CE). Students will gain a familiarity with both the broad historical narratives of the Roman empire and the details of specific scholarly disagreements in the intellectual political socio-economic and cultural history of the period.,[ANCH-535 -- AAMW-534],3.0,3.0,3.33,-1.0,3.67,-1.0,-1.0,6
ELEMENTARY HUNGARIAN II,null,35613,/courses/35613,Continuation of EEUR 121,[EEUR-122],3.0,3.14,-1.0,-1.0,1.29,-1.0,-1.0,7
ADVANCED SELECTED TOPICS: SOCIOLOGY OF RACE,null,36526,/courses/36526,Topics vary from semester to semester. Courses offered in the past were Social Movements and Social Change; Critical Race Theory; Conducting Family Research; Mistakes Errors Accidents and Disasters; Sociology of Jewish Bioethics.,[SOCI-530 -- LALS-530 -- AFRC-533],3.23,3.0,2.92,-1.0,3.25,-1.0,-1.0,13
NANOTRIBOLOGY,null,43106,/courses/43106,Engineering is progressing to ever smaller scales enabling new technologies materials devices and applications. This course will provide an introduction to nano-scale tribology and the critical role it plays in the developing areas of nanoscience and nanotechnology. We will discuss how contact adhesion friction lubrication and wear at interfaces originate using an integrated approach that combines concepts of mechanics materials science chemistry and physics. We will cover a range of concepts and applications drawing connections to both established and new approaches. We will discuss the limits of continuum mechanics and present newly developed theories and experiments tailored to describe micro- and nano-scale phenomena. We will emphasize specific applications throughout the course. Reading of scientific literature critical peer discussion individual and team problem assignments and a peer-reviewed literature research project will be assigned as part of the course.,[MEAM-537 -- MSE-537],2.67,3.22,2.67,2.67,3.11,1.56,2.67,9
Body Image: Etiology Psychopathology and Treatment,null,42055,/courses/42055,,[PSYC-460],3.33,3.71,1.75,-1.0,1.7,-1.0,-1.0,21
INT'L COMPARATIVE MGMT.,null,37514,/courses/37514,This course focuses on the comparative institutional environments in which business government and society interact. It provides students with a set of conceptual tools and analytical frameworks to navigate the complexities and ambiguities of the global economy. It provides an understanding of how to identify measure and interpret the economic social political and cultural factors that shape regulatory policy business strategy and market outcomes. It does so by traversing a rich empirical terrain that cuts across developing and industrialized countries and is especially attentive to change over time. The course is deeply inter-disciplinary and brings insights from economics political science sociology anthropology geography and history.,[MGMT-234],2.94,3.43,2.17,2.88,2.13,2.35,2.79,35
Applied Physiology for Nurse Anesthesia III,null,44683,/courses/44683,This course is an in-depth analysis of the chemical and physical principles as they apply to nurse anesthesia practice. Aspects of organic and biochemistry including the chemical structures of compounds and its significance in pharmacology will be explored. Applications of the laws of physics as they pertain to nurse anesthesia practice will be reviewed with specific examples. Emphasis on the dynamics of the anesthesia delivery system and related equipment will be presented.,[NURS-683],3.87,3.92,3.27,3.81,3.18,3.09,3.82,24
Introduction to Geotechnical Science,null,41477,/courses/41477,Open to architectural and engineering majors as well as Ben Franklin Scholars. Field trips. Relations of rocks rock structures soils ground water and geologic agents to architectural engineering and land-use problems.,[GEOL-109],2.86,3.14,1.67,-1.0,1.33,-1.0,-1.0,7
Asian Americans in Contemporary Society,null,44927,/courses/44927,This class will introduce you to sociological research of Asian Americans and engage in the model minority stereotype. We begin by a brief introduction to U.S. immigration history and sociological theories about assimilation and racial stratification. The class will also cover research on racial and ethnic identity educational stratification mass media images interracial marriage multiracials transracial adoption and the viability of an Asian American panethnic identity. We will also examine the similarities and differences of Asian Americans relative to other minority groups.,[SOCI-103 -- ASAM-001],2.15,1.92,1.82,-1.0,2.27,-1.0,-1.0,14
WRITING SEMINAR IN ANTH: GLOBAL DEVELOPMENT &NGOS,null,38021,/courses/38021,This writing seminar focuses on a scholarly inquiry in the field of Anthropology the study of human societies and cultures. It will introduce students to scholarly conversations as a basis for understanding discipline- and profession-based writing. This includes types of reasoning evidence citation practices and other means of creating testing and sharing knowledge with diverse audiences. Throughout students are introduced to new writing situations as a means of sharpening their skills and learning how to be adpative effective writers.,[WRIT-013],2.53,3.33,2.29,-1.0,3.64,-1.0,-1.0,15
COST MANAGEMENT,null,40825,/courses/40825,This course covers managerial accounting and cost management practices that can be strategically applied across the various functions of a business organization to improve organizational performance. The course emphasizes the methods available to measure and evaluate costs for decision-making and performance evaluation purposes. It reviews a number of cost management issues relating to the design and implementation of strategic marketing value analysis and other management models in modern firms; and identifies major contemporary issues in managerial accounting and financial decision- making. A variety of case studies in different industries and decision contexts are used to examine the application of these concepts.,[ACCT-706],3.36,3.75,2.2,3.5,2.3,3.1,3.5,12
IMPACT INVESTING,null,44213,/courses/44213,This course explores Impact Investing a discipline that seeks to generate social benefits as well as financial returns. From tiny beginnings the Impact Investment space has expanded and now commands significant attention from policymakers wealthy and public-spirited individuals academia and not least the world's largest asset managers and philanthropic foundations. Evangelists believe it may be the key to freeing the world from poverty. Skeptics think it will remain confined to the boutique. Regardless Impact Investing is becoming a distinct career specialization for finance professionals despite the diverse skillset each must have and the uncertainty of the new field's growth.,[FNCE-754],2.31,2.54,1.91,2.16,2.06,1.88,2.13,41
BEGINNING TELEGU II,null,44991,/courses/44991,This course continues tudents to the basic Telugu language skills with an emphasis on practice for listening comprehension and speaking Telugu. Combined with exposure to Andhra culture the classroom and online work in this course will enable interested students to pursue further language study in Telugu at the intermediate level to carry out field research in Andhra Pradesh or to prepare them to advanced work in Telugu Studies. An introduction to Telugu like this will also be useful for students who just want to acquire basic Telugu language skills for learning a new language or being able to communicate with Telugu speaking family and friends or to enjoy Telugu music and films.,[TELU-410],4.0,4.0,-1.0,-1.0,0.67,-1.0,-1.0,4
TOPICS LITERARY THEORY: GLOBAL FEMINISMS,null,35675,/courses/35675,This course explores an aspect of literary theory intensively; specific course topics vary from year to year.,[ENGL-294 -- GSWS-296],3.38,3.63,2.88,-1.0,2.88,-1.0,-1.0,8
STUDIO LIGHTING,null,41402,/courses/41402,The necessity of light and how light is rendered in relationship to what is seen and understood is often a key ingredient in the portrayal of a subject. The origin of the still life can be found in images as far back as antiquity and has dealt with notions of death science class social customs and even sex. Photography picked up on the tradition in 1827 and has not only made use of the form but has expanded the topic into very unique territories. Contemporary artists have re-invented and re-invigorated the still life formalism & abstract photography. As a framework for exploring 'hands-on' lighting techniques students will creatively grapple with the photography of objects in the studio. Working with the physical symbolic and conceptual ramifications of depicting specific forms in an image teamed with the discussion of key texts critiques and studio lighting seminars each student will create a considered and unique portfolio of images.,[FNAR-277 -- FNAR-577],3.25,3.5,2.67,3.0,2.33,2.67,2.67,4
GEN CHEM LAB I,null,36862,/courses/36862,A general laboratory course covering aspects of qualitative and quantitative analysis determination of chemical and physical properties and chemical synthesis.,[CHEM-053],1.61,2.12,2.81,-1.0,3.1,-1.0,-1.0,266
BIOMECH & BIOTRANS,null,38171,/courses/38171,The course is intended as an introduction to continuum mechanics in both solid and fluid media with special emphasis on the application to biomedical engineering. Once basic principles are established the course will cover more advanced concepts in biosolid mechanics that include computational mechanics and bio-constitutive theory. Applications of these advanced concepts to current research problems will be emphasized.,[BE-510],3.4,3.67,3.08,3.62,2.77,2.23,3.38,15
PERICLEAN ATHENS,null,43937,/courses/43937,Athens in the 5th Century BCE is often viewed as a high point of human civilization. We will assess this claim by looking at the period's cultural achievements (in such areas as drama architecture and oratory) within their social and political contexts. Topics for discussion include: the structure and workings of the Athenian democracy; the interplay between pro-democratic and anti-democratic positions in Athenian political life; the connections between democracy and imperialism; conceptions of citizenship and relations between citizens and non-citizens (women slaves and resident foreigners); the role of the law courts in both dispute resolution and elite competition; sexual politics; and the civic significance of religious ritual.,[CLST-217 -- ANCH-217],3.0,3.2,2.0,-1.0,2.4,-1.0,-1.0,5
ELEMENTARY KOREAN I,null,41624,/courses/41624,This course is designed for students who have little or no knowledge of Korean. This course aims to develop foundational reading writing listening and speaking skills through meaningful communicative activities and tasks. Upon successful completion of this course students should be able to comprehend and carry on simple daily conversations and create simple sentences in the past present and future tenses. Students will learn how to introduce themselves describe their surroundings talk about daily lives friends and relatives and talk about past and future events.,[KORN-011],3.38,3.77,-1.0,-1.0,1.33,-1.0,-1.0,13
OPERATIONS STRATEGY,null,37718,/courses/37718,Operations strategy is about organizing people and resources to gain a competitive advantage in the delivery of products (both goods and services) to customers. This course approaches this challenge primarily from two perspectives: 1) how should a firm design their products so that they can be profitably offered; 2) how can a firm best organize and acquire resources to deliver its portfolio of products to customers. To be able to make intelligent decisions regarding these high-level choices this course also provides a foundation of analytical methods. These methods give students a conceptual framekwork for understanding the linkage between how a firm manages its supply and how well that supply matches the firm's resulting demand. Specific course topics include designing service systems managing inventory and product variety capacity planning approaches to sourcing and supplier management constructing global supply chains managing sustainability initiatives and revenue management. This course emphasizes both quantitative tools and qualitative frameworks. Neither is more important than the other.,[OPIM-615],3.14,3.52,2.73,3.15,2.44,2.98,3.56,66
ETHICS IN THE PROFESSION: BUSINESS ETHICS,null,39159,/courses/39159,This introductory course considers the ethical issues and challenges that arise in the professions. Topics may include Legal Ethics Business Ethics Medical Ethics and Political Ethics. No prior background in Philosohpy or Ethics is presupposed.,[PHIL-273],3.24,3.59,1.92,-1.0,2.08,-1.0,-1.0,18
GLOBAL CLIMATE CHANGE,null,41480,/courses/41480,Public perceptions and attitudes concerning the causes and importance of globalwarming have changed. Global Climate Change provides a sound theoretical understanding of global warming through an appreciation of the Earth's climate system and how and why this has changed through time. We will describe progress in understanding of the human and natural drivers of climate change climate pr0cesses and attribution and estimates of projected future climate change. We will assess scientific tehnical and socio-economic information relevant for the understanding of climate change its potential impacts and options for adaptation and mitigation.,[GEOL-204],2.67,2.67,2.88,-1.0,2.5,-1.0,-1.0,9
ADVANCED CALCULUS,null,41684,/courses/41684,Syllabus for MATH 360-361: a study of the foundations of the differential and integral calculus including the real numbers and elementary topology continuous and differentiable functions uniform convergence of series of functions and inverse and implicit function theorems. MATH 508-509 is a masters level version of this course.,[MATH-360],3.06,3.36,3.46,-1.0,3.15,-1.0,-1.0,39
INTERMEDIATE TWI II,null,35253,/courses/35253,,[AFST-263 -- AFST-567 -- AFRC-265],4.0,4.0,-1.0,-1.0,2.0,-1.0,-1.0,2
READING HISTORICAL ARABIC MANUSCRIPTS,null,43659,/courses/43659,Arabic language is used by many societies not only in communication but also in correspondence and in documenting the affairs of their daily lives. Arabic script is adopted by many groups whose native languages are not Arabic in writing their languages before some moved to the Roman alphabet. In many historical documents specific style of writing and handwriting are dominant. This specificity is influenced by the dialectical variations the historical development of each region and the level of Arabic literacy and use. The aims of this course which will focus on the Arabic writing tradition of Africa and the Middle East are as follows: (1) Reading and interpreting hand-written Arabic documents from Africa and the Middle East with focus on different historical eras. (2) In-depth understanding of the historical and language contexts of the selected documents. (3) Examining different handwriting styles that are in vogue in Africa and the Middle East.,[AFRC-509 -- ARAB-580],3.67,3.67,3.0,-1.0,2.5,-1.0,-1.0,3
AMERICAN ART,null,36764,/courses/36764,This course surveys the most important and interesting art produced in the United States (or by American artists living abroad) up through the 1950s. This period encompasses the history of both early and modern art in the U.S. from its first appearances to its rise to prominence and institutionalization. While tracking this history the course examines art's relation to historical processes of modernization (industrialization the development of transportation and communications the spread of corporate organization in business urbanization technological development the rise of mass media and mass markets etc.) and to the economic polarization social fragmentation political conflict and the cultural changes these developments entailed. In these circumstances art is drawn simultaneously toward truth and fraud realism and artifice science and spirituality commodification and ephemerality nationalism and cosmopolitanism individualism and collectivity the past and the future professionalization and popularity celebrating modern life and criticizing it.,[ARTH-278 -- ARTH-678],3.08,2.85,2.5,-1.0,2.42,-1.0,-1.0,13
ELEMENTARY RUSSIAN II,null,43451,/courses/43451,Continuation of RUSS001. Further work developing basic language skills using exciting authentic materials about life in present-day Russia. At the conclusion of the course students will be prepared to negotiate most basic communication needs in Russia (getting around town ordering a meal buying goods and services polite conversation about topics of interest) and to comprehend most texts and spoken material at a basic level.,[RUSS-002 -- RUSS-502],3.36,3.36,-1.0,-1.0,1.78,-1.0,-1.0,12
IMMIGRANT URBAN LABOR IN THE U.S.,null,35334,/courses/35334,Topics vary. Please see our website for more current information: asam.sas.upenn.edu,[ASAM-201 -- URBS-215 -- SOCI-231],2.88,3.25,1.8,-1.0,2.4,-1.0,-1.0,21
